卖家ID,前一天登录次数,前一周登录次数,上传产品数量,审核通过的产品总数量,在线产品数量,前一天产品曝光次数,前一周产品曝光次数,最近7天产品曝光次数,前一天在线时长,前一周在线时长,最近7天登录次数,最近7天在线时长,前一个月登录次数,前一个月在线时长,最近30天登录次数,最近30天在线时长,前3个月登录次数,前3个月在线时长,最近90天登录次数,最近90天在线时长,前一月产品曝光次数,最近30天产品曝光次数,前3月产品曝光次数,最近90天产品曝光次数,城市,诚保类型,黄牌数量,警告数量,代理商名称,最近60天手动好评数量,最近60天中评数量,最近60天差评数量,最近60天的订单未评价率
ff8080814c49a7fe014c9019330b0e85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,梅州市, ,0,0, ,0,0,0,0
ff8080814c465910014c8fe79bda1626,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,莆田市, ,0,0, ,0,0,0,0
ff8080814c49a7fe014c8fb77a1c0e78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,宜春市, ,0,0, ,0,0,0,0
ff8080814c49a796014c8fb5ba080f86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,苏州市, ,0,0, ,0,0,0,0
ff8080814c49a796014c8fa134460f80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,阳江市, ,0,0, ,0,0,0,0
ff8080814c4658d6014c8f9e883d14ea,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,深圳市, ,0,0, ,0,0,0,0
ff8080814c49a796014c8f9577930f77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,广州市, ,0,0, ,0,0,0,0
ff8080814c465910014c8f7af8761603,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, , ,0,0, ,0,0,0,0
ff8080814c49a7fe014c8f77fa5f0e59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, , ,0,0, ,0,0,0,0
ff8080814c49a7fe014c8f7487ba0e53,1,0,0,0,0,0,0,0,0.00,0,1,0.00,0,0,1,0.00,0,0,1,0.00,0,0,0,0,郑州市, ,0,0, ,0,0,0,0
ff8080814c4658d6014c8f73970814d2,1,0,0,0,0,0,0,0,0.01,0,1,0.01,0,0,1,0.01,0,0,1,0.01,0,0,0,0,深圳市, ,0,0, ,0,0,0,0
ff8080814c49a7fe014c8f68e09a0e45,1,0,0,0,0,0,0,0,0.00,0,1,0.00,0,0,1,0.00,0,0,1,0.00,0,0,0,0,深圳市, ,0,0, ,0,0,0,0
ff8080814c49a7fe014c8f67d5570e3d,1,0,0,0,0,0,0,0,0.00,0,1,0.00,0,0,1,0.00,0,0,1,0.00,0,0,0,0,徐州市, ,0,0, ,0,0,0,0
ff8080814c49a7fe014c8f66d59d0e37,1,0,0,0,0,0,0,0,0.00,0,1,0.00,0,0,1,0.00,0,0,1,0.00,0,0,0,0, , ,0,0, ,0,0,0,0
ff8080814c4658d6014c8f5758dd14c4,1,0,0,0,0,0,0,0,0.00,0,1,0.00,0,0,1,0.00,0,0,1,0.00,0,0,0,0,海口市, ,0,0, ,0,0,0,0
ff8080814c49a796014c8f547d2b0f58,1,0,0,0,0,0,0,0,0.00,0,1,0.00,0,0,1,0.00,0,0,1,0.00,0,0,0,0,深圳市, ,0,0, ,0,0,0,0
ff8080814c49a796014c8f50ebb90f4d,1,0,0,0,0,0,0,0,0.00,0,1,0.00,0,0,1,0.00,0,0,1,0.00,0,0,0,0,广州市, ,0,0, ,0,0,0,0
ff8080814c49a7fe014c8f5094820e20,1,0,0,0,0,0,0,0,0.09,0,1,0.09,0,0,1,0.09,0,0,1,0.09,0,0,0,0,深圳市, ,0,0, ,0,0,0,0
ff8080814c4658d6014c8f4fed2414b6,1,0,0,0,0,0,0,0,0.00,0,1,0.00,0,0,1,0.00,0,0,1,0.00,0,0,0,0,嘉兴市, ,0,0, ,0,0,0,0
ff8080814c49a796014c8f43bd270f3e,1,0,0,0,0,0,0,0,0.00,0,1,0.00,0,0,1,0.00,0,0,1,0.00,0,0,0,0, , ,0,0, ,0,0,0,0
ff8080814c465910014c8f40469515c3,1,0,0,0,0,0,0,0,0.00,0,1,0.00,0,0,1,0.00,0,0,1,0.00,0,0,0,0,莆田市, ,0,0, ,0,0,0,0
ff8080814c465910014c8f3e357c15be,1,0,0,0,0,0,0,0,0.00,0,1,0.00,0,0,1,0.00,0,0,1,0.00,0,0,0,0,东莞市, ,0,0, ,0,0,0,0
ff8080814c4658d6014c8f3d518a1496,1,0,0,0,0,0,0,0,0.36,0,1,0.36,0,0,1,0.36,0,0,1,0.36,0,0,0,0,揭阳市, ,0,0, ,0,0,0,0
ff8080814c49a7fe014c8f38d8310dfe,1,0,0,0,0,0,0,0,0.00,0,1,0.00,0,0,1,0.00,0,0,1,0.00,0,0,0,0,珠海市, ,0,0, ,0,0,0,0
ff8080814c49a796014c8f36dd100f2c,1,0,0,0,0,0,0,0,0.10,0,1,0.10,0,0,1,0.10,0,0,1,0.10,0,0,0,0,莆田市, ,0,0, ,0,0,0,0
